project,version,file,has_provenance,publisher
opentelemetry-exporter-otlp-proto-http,1.42.1,opentelemetry_exporter_otlp_proto_http-1.42.1-py3-none-any.whl,False,
opentelemetry-exporter-otlp-proto-http,1.42.1,opentelemetry_exporter_otlp_proto_http-1.42.1.tar.gz,False,
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-macosx_10_9_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-musllinux_1_2_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp310-cp310-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-macosx_10_9_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-musllinux_1_2_aarch64.whl,True,GitHub
