project,version,file,has_provenance,publisher
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-musllinux_1_2_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-win32.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-win_amd64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-macosx_10_13_universal2.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-macosx_10_13_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-musllinux_1_2_aarch64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-musllinux_1_2_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp312-cp312-win32.whl,True,GitHub
